,KGE,NSE,sitenum,yr_params,meanQ
0,0.8626038274465493,0.75828019731801,01466500,[ 0.44726838 -0.09088268  5.68236438],3.062208333333334
0,0.891572164837064,0.829687557557423,02011400,[ 7.73024636e-01 -1.22479598e-03  4.35822904e+00],391.1458333333333
0,0.9098639104992942,0.845802510801831,02077200,[ 7.74983196e-01 -1.95454560e-04  3.41536031e+00],97.97000000000001
0,0.8574566892503347,0.8318715364646615,04043238,[ 0.54008459 -0.14477025  4.23119261],10.141041666666665
0,0.8722433069389287,0.8445331484073635,04043244,[ 0.49733429 -0.05712279  4.80412637],32.57854166666667
0,0.9053750695257038,0.8463219637731253,04124000,[ 6.41229778e-01 -8.62917106e-04  5.29231920e+00],1552.625
0,0.9124970646521399,0.8735978892861964,04125460,[ 4.84406564e-01 -1.27113067e-03  5.27320212e+00],434.44512578616354
0,0.9267624082658611,0.8605590937988551,04136000,[ 6.36395889e-01 -7.04140745e-04  5.23324237e+00],1280.4166666666667
0,0.9363455570251562,0.8966794568987172,06036905,[ 5.27304774e-01 -7.01867497e-03  1.54760656e+01],403.3229166666667
0,0.910726839465043,0.8269434164458531,07061270,[ 7.18684927e-01 -1.15193269e-03  5.23678940e+00],141.25147849462363
0,0.8690154888959081,0.37450793938011284,07144780,[ 5.42411571e-01 -6.63770557e-03  1.07221221e+01],393.29331140350877
0,0.8390300018708816,0.6862519179191611,08070200,[ 7.51563775e-01 -8.26433183e-04  5.37404682e+00],403.93500000000034
0,0.8291998566788377,0.8269485780335556,10343500,[ 0.50081374 -0.02774397  2.57004139],25.390416666666674
0,0.8852041736236809,0.7697338945234266,11203580,[ 0.63766417 -0.01301844  2.28595354],46.65568181818182
0,0.8939888590144948,0.8272401078498668,11204100,[ 0.75470513 -0.00387311  1.804725  ],98.46458333333334
0,0.8648823219569085,0.8331882401811633,11381500,[ 6.76181409e-01 -5.47811426e-04  1.71021912e+00],587.6708333333332
0,0.8784881094115012,0.7985437969304308,11383500,[7.86341593e-01 1.35875718e-04 2.51461609e-01],664.1208333333338
0,0.8166836866466559,0.8261918345793171,12147500,[ 3.45708402e-01 -9.02643523e-04  4.72930371e+00],717.7166666666667
0,0.7792680076918181,0.7176344010047085,12147600,[ 0.50259905 -0.00471775  2.34418015],125.04583333333333
0,0.8969898904826519,0.8126143662053584,13331500,[ 7.14251503e-01 -2.96665232e-03  3.23369974e+00],1333.6875
0,0.7618702389197238,0.7890300478286306,13340600,[ 6.33369507e-01 -2.97540147e-04  3.85896331e+00],9834.958333333332
0,0.7618702389197238,0.7890300478286306,13340600,[ 6.33369507e-01 -2.97540147e-04  3.85896331e+00],9834.958333333332
0,0.8011720501343276,0.6896808177559247,14046890,[ 3.63211768e-01 -3.96077348e-03  7.18492653e+00],8.692177083333354
0,0.7468549153344781,0.7052810058337445,14138870,[ 0.40379648 -0.00765635  3.47384276],85.75812499999999
0,0.856994949337927,0.747397604799563,14138900,[ 4.00023564e-01 -2.27118956e-03  3.18641784e+00],170.52916666666673
0,0.7812272077266943,0.7310505087952164,14139800,[ 4.76387485e-01 -2.11586251e-03  2.98953350e+00],273.24375000000003
0,0.8374584017749997,0.7526360982960367,14150800,[ 6.81267000e-01 -3.55375699e-04  2.37853549e+00],282.5635416666666
0,0.547048491353861,0.2584288066548751,14152500,[4.88133298e-01 1.47403199e-03 3.68165794e+00],267.6104166666668
0,0.8155511020390976,0.7456666035554073,14159200,[ 3.19978340e-01 -4.03749475e-04  4.05617392e+00],1257.625
0,0.8258397698833275,0.7558863540234817,14161500,[ 5.21871257e-01 -2.31176230e-03  4.01602051e+00],243.86458333333337
0,0.772208042395683,0.7543090294670142,14179000,[ 3.77065865e-01 -5.59787488e-04  3.92032836e+00],1113.3794202898548
0,0.7969881157701733,0.7661004504608127,14180300,[ 5.16765154e-01 -2.41894878e-03  3.23752359e+00],265.8333333333333
0,0.8084494792187861,0.80292804142511,14182500,[ 7.10936430e-01 -8.15697077e-04  3.25752784e+00],1665.436956521739
0,0.8150314305010085,0.7448945677191487,14318000,[ 7.08783588e-01 -3.54468845e-04  2.78222861e+00],1056.4229166666687
